source;product_id;product_name;price;currency;categories;product_url;image_url;scrape_date,,,,
Kalys;;Poupée Benti B;60.000TND;TND;mobiliers-et-objets-deco;https://www.kalys-designstore.com/produit/poupee-benti-b/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201661%201661'%2F%3E;04:20.5,,,
Kalys;;Poupée Ommi N;80.000TND;TND;mobiliers-et-objets-deco;https://www.kalys-designstore.com/produit/poupee-ommi-n/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201700%201700'%2F%3E;04:20.5,,,
Kalys;;Poupée Benti N;60.000TND;TND;mobiliers-et-objets-deco;https://www.kalys-designstore.com/produit/poupee-benti-n/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201700%201700'%2F%3E;04:20.5,,,
Kalys;;Pack Foundouk Bleu d'eau;135.000TND;TND;verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/pack-foundouk-2/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201435%201435'%2F%3E;04:20.5,,,
Kalys;;Pack Coussins Chèvre;140.000TND;TND;coussins-plaids-et-peaux;https://www.kalys-designstore.com/produit/pack-coussins-chevre/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:20.5,,,
Kalys;;Pack Foundouk Vert d'eau;135.000TND;TND;art-de-la-table, verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/pack-foundouk/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%202160%202160'%2F%3E;04:20.5,,
Kalys;;Sélection Luna craquelé Miel;99.000TND;TND;art-de-la-table, verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/selection-luna-craquele-miel/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:20.5,,
Kalys;;La carafe Foundouk Bleu d'eau;48.000TND;TND;art-de-la-table, verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/la-carafe-foundouk-bleu-deau/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:20.5,,
Kalys;;La carafe Foundouk Blanc satiné;48.000TND;TND;art-de-la-table, verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/la-carafe-foundouk-blanc-satine/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:20.5,,
Kalys;;La carafe Foundouk Noir satiné;48.000TND;TND;art-de-la-table, verres-gobelets-et-carafes;https://www.kalys-designstore.com/produit/la-carafe-foundouk-noir-satine/;data:image/svg+xml,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%20800%20800'%2F%3E;04:20.5,,
